SYMBOL,Z,N,A,EPorc,MAE,MSE
Ag,47,63,110,0.3704276162109562,0.03160528761079284,0.0009988942049609355
Ag,47,64,111,0.3711635124521327,0.0316780181788161,0.0010034968357374035
Ag,47,65,112,0.3519555918025062,0.02997282222606401,0.0008983700721952368
Ag,47,66,113,0.320902702042895,0.02732828590175629,0.0007468352103281315
Ag,47,67,114,0.2897934388281364,0.024614413091388343,0.0006058693318335099
Ag,47,68,115,0.23936654616592642,0.020323548971918015,0.00041304664281394983
Ag,47,69,116,0.18763656724073463,0.01588513784350276,0.00025233760430708353
Ag,47,70,117,0.12378453825249269,0.010471492977968566,0.00010965216518764499
Ag,47,71,118,0.03928884917433297,0.0033135783216291514,1.0979801293570665e-05
Ag,47,72,119,0.02118151555998192,0.0017841640875193576,3.183241491193782e-06
Ag,47,73,120,0.1172785738065523,0.009845921062060725,9.6942161560331e-05
Ag,47,74,121,0.19236029561295373,0.016124275921415077,0.00025999227398992603
Ag,47,75,122,0.30362011889291407,0.0253606571102587,0.0006431629290641151
Ag,47,76,123,0.3955834398738227,0.032983631310731454,0.0010879199344422644
Ag,47,77,124,0.5445914603424027,0.045249536975548565,0.0020475205965015367
Ag,47,78,125,0.6618112846092001,0.05488609519999876,0.0030124834463033275
Cd,48,49,97,1.1048641424788337,0.09181753919565239,0.008430460503945162
Cd,48,50,98,1.0947583902576006,0.0917220907573082,0.008412941932891882
Cd,48,51,99,0.8852193288937776,0.07434402464947354,0.005527034001081529
Cd,48,52,100,0.6809731669034788,0.057458728268752424,0.003301505454262329
Cd,48,53,101,0.5101890465121538,0.043112840191620094,0.001858716989388173
Cd,48,54,102,0.3683125064583821,0.03124811995706267,0.0009764450008509783
Cd,48,55,103,0.22687295983550293,0.019260957770663722,0.00037098449424329124
Cd,48,56,104,0.1294707915337267,0.011027834176900342,0.00012161312663321124
Cd,48,57,105,0.011946867615275296,0.0010174971767913377,1.0353005047783426e-06
Cd,48,58,106,0.05070810696918536,0.004329990202487366,1.874881515363658e-05
Cd,48,59,107,0.1381074145673663,0.011785192375562303,0.00013889075932901185
Cd,48,60,108,0.1751069191801906,0.014971675910862459,0.00022415107957989922
Cd,48,61,109,0.24939987925853965,0.021295668602570927,0.00045350550123052517
Cd,48,62,110,0.2540671701603212,0.021725983675462857,0.00047201836666647853
Cd,48,63,111,0.29295464653906944,0.02500977283171224,0.0006254887370938517
Cd,48,64,112,0.28186847684320293,0.02408490199257507,0.0005800825039919466
Cd,48,65,113,0.29987927600653047,0.025570668080288073,0.0006538590660722633
Cd,48,66,114,0.25997998462505717,0.02218022748558468,0.0004919624913122861
Cd,48,67,115,0.2577274633747155,0.02193447617275268,0.0004811212449730551
Cd,48,68,116,0.1928566747380804,0.01641663727349041,0.0002695059793693546
Cd,48,69,117,0.17074009879900462,0.014494082594621815,0.00021007843025971906
Cd,48,70,118,0.08505928825274085,0.007219692039067027,5.2123953138967806e-05
Cd,48,71,119,0.05330796684777478,0.004510620617192984,2.034569835224642e-05
Cd,48,72,120,0.05384287884184026,0.0045540436147337715,2.0739313244897437e-05
Cd,48,73,121,0.1189218912629127,0.010026301322563214,0.00010052671821083284
Cd,48,74,122,0.23062565598350315,0.019428520338674815,0.00037746740255030096
Cd,48,75,123,0.31061436807883286,0.026077304680043767,0.0006800258193758326
Cd,48,76,124,0.4425274427393223,0.037114855834959215,0.001377512523649806
Cd,48,77,125,0.5501990857153415,0.04598388720000024,0.002114517882022346
Cd,48,78,126,0.6877349431240352,0.05740344277756648,0.0032951552427173494
Cd,48,79,127,0.8194095298842421,0.06814944742806617,0.004644347184750755
Cd,48,80,128,0.9573804142164464,0.07949356191183199,0.006319226385430266
Cd,48,81,129,1.0700201318074762,0.08848564757608024,0.007829709826958275
Cd,48,82,130,1.1985753477069845,0.09891347093292069,0.009783874731997745
Cd,48,83,131,1.1821334571793967,0.09700729478482373,0.009410415241469688
Cd,48,84,132,1.0958232437938338,0.08951935795034771,0.008013715447842481
In,49,51,100,1.1375812681274173,0.0947576699939372,0.008979016022679906
In,49,52,101,0.8810365752661176,0.07374651456558468,0.005438548410571993
In,49,53,102,0.7061610175340158,0.05923682468561253,0.0035090013988339944
In,49,54,103,0.5167624454534273,0.043530620953387,0.0018949149605874554
In,49,55,104,0.3792207186532565,0.03198817016371258,0.0010232430304226317
In,49,56,105,0.2403166795535328,0.020342096788418473,0.00041380090174938515
In,49,57,106,0.13333170650992057,0.01129335727275027,0.00012753991848998142
In,49,58,107,0.03377928496813388,0.0028692272942993924,8.232465266352613e-06
In,49,59,108,0.03162667089868844,0.002686765265547564,7.218707592152871e-06
In,49,60,109,0.10912611422098974,0.00929001817615216,8.63044377132375e-05
In,49,61,110,0.15683292842950594,0.013344770691603003,0.00017808290481146648
In,49,62,111,0.2031861901301193,0.017316100920689692,0.0002998473510955104
In,49,63,112,0.21849963916089088,0.01860451754475001,0.0003461280730729109
In,49,64,113,0.24969035772406434,0.021280933656500522,0.0004528781372923767
In,49,65,114,0.23924364920552788,0.020364357695513036,0.000414707064350801
In,49,66,115,0.24605942060840694,0.020955766696161504,0.00043914415782395164
In,49,67,116,0.22400572953632092,0.01904411075127399,0.0003626781543067896
In,49,68,117,0.1970342432846858,0.016755526643803975,0.0002807476731112249
In,49,69,118,0.16099925533235288,0.013661860679983207,0.0001866464372392712
In,49,70,119,0.09965114952608702,0.008456534764928136,7.151298023043818e-05
In,49,71,120,0.03616091069734933,0.0030614758139826392,9.372634159600664e-06
In,49,72,121,0.04160407606226265,0.0035213177000841256,1.2399678344925756e-05
In,49,73,122,0.12547449398322552,0.010592692169042905,0.00011220512738810289
In,49,74,123,0.22750351726453316,0.019196601639537292,0.00036850951450708585
In,49,75,124,0.32812632115855345,0.027609612775940207,0.0007622907176373607
In,49,76,125,0.445192334647165,0.037431488800001134,0.0014011163537846103
In,49,77,126,0.5840345397939347,0.048968999153876425,0.00239796287813235
In,49,78,127,0.6983447671301295,0.05848512560670471,0.0034205099172320273
In,49,79,128,0.8681188344210824,0.07250038972874151,0.005256306510819407
In,49,80,129,0.9822432231212503,0.08190689516991334,0.006708739476375174
In,49,81,130,1.1664120763357826,0.09697755291181132,0.009404645768763164
In,49,82,131,1.269474816162284,0.10534044136463017,0.011096608586895085
In,49,83,132,1.244966453880377,0.10275599788849021,0.010558795102059405
Sn,50,50,100,1.648358099422638,0.13601634550506425,0.018500446244553014
Sn,50,51,101,1.408956201964767,0.11667711430959038,0.01361354900361322
Sn,50,52,102,1.121123430097081,0.09332714972663503,0.008709956876097753
Sn,50,54,104,0.7067612414566016,0.05925423629326154,0.0035110645186976733
Sn,50,55,105,0.5296328174753585,0.04447448054255787,0.0019779794195303587
Sn,50,56,106,0.3979288177585021,0.033553510320134095,0.0011258380548033451
Sn,50,57,107,0.2572121428725305,0.0217074049082715,0.0004712114278516496
Sn,50,58,108,0.1707288722452352,0.014459074799431093,0.0002090648440555433
Sn,50,59,109,0.053662916022669316,0.004545527122013837,2.0661816816963396e-05
Sn,50,60,110,0.016549627399707827,0.0014060708248031517,1.977035164362615e-06
Sn,50,61,111,0.0690052048619577,0.005860702445744437,3.4347833157554823e-05
Sn,50,62,112,0.07982805004334854,0.006796255955991981,4.618909501935648e-05
Sn,50,63,113,0.1356593167614459,0.011540282630402743,0.00013317812318957526
Sn,50,64,114,0.12473692174693213,0.010630787854356782,0.00011301365040433968
Sn,50,65,115,0.13317391418910715,0.011338520542148345,0.00012856204808472
Sn,50,66,116,0.1313780989106283,0.011197508557016178,0.00012538419788445053
Sn,50,67,117,0.13830507343353138,0.011769225125508598,0.00013851466005490286
Sn,50,68,118,0.09846952231758578,0.008386190446284303,7.032819020135012e-05
Sn,50,69,119,0.09316578031140978,0.007918578355683437,6.27038831750982e-05
Sn,50,70,120,0.018471559464996696,0.001570911558113508,2.4677631234146096e-06
Sn,50,71,121,0.009859819555533675,0.0008366250539726394,6.999414809347218e-07
Sn,50,72,122,0.1086963005229784,0.009226029813808267,8.511962612527902e-05
Sn,50,73,123,0.16510736147258162,0.013980022189210572,0.00019544102041081998
Sn,50,74,124,0.28100568768324896,0.023793874755874356,0.0005661484758982349
Sn,50,75,125,0.3632371852158297,0.030677300000000685,0.000941096735290042
Sn,50,76,126,0.49611926728447536,0.04188994295223836,0.001754767320541784
Sn,50,77,127,0.601586804605646,0.050656906846658245,0.0025661222112710108
Sn,50,78,128,0.7547543589135652,0.0635274849464107,0.004035741343616437
Sn,50,79,129,0.8791066362649843,0.07378180330461603,0.00544375449888105
Sn,50,80,130,1.0389722897951499,0.0871367046258289,0.007592805293048952
Sn,50,81,131,1.1914750585285916,0.09963731980938917,0.009927595498798495
Sn,50,82,132,1.3641073253177065,0.11396942915756192,0.012989030782500525
Sn,50,83,133,1.300980136084981,0.10811260718098303,0.011688335831469544
Sn,50,84,134,1.1786694195149094,0.09753692059759089,0.00951345087966075
Sn,50,85,135,1.1405156549905922,0.09387228173188511,0.008812005277550411
Sb,51,54,105,0.7225672096962646,0.05998024843921179,0.0035976302028295688
Sb,51,55,106,0.5723156697316185,0.047628181002208336,0.002268443625579119
Sb,51,56,107,0.40387980824404385,0.03375924046634893,0.001139686316864771
Sb,51,57,108,0.2785148222353828,0.02331911749735127,0.0005437812408552742
Sb,51,58,109,0.1667575723866654,0.014015667291923606,0.00019643892963789719
Sb,51,59,110,0.06666151559128458,0.005608021389736706,3.144990390774441e-05
Sb,51,60,111,0.001767479627952026,0.00014917740687714343,2.2253898722588798e-08
Sb,51,61,112,0.06655701583548766,0.005619830152900462,3.1582490947449236e-05
Sb,51,62,113,0.11465562106513597,0.00970591500198914,9.420478602583785e-05
Sb,51,63,114,0.1758605641307163,0.014882233828929614,0.000221480883738937
Sb,51,64,115,0.1823074116043897,0.015461337710712897,0.00023905296380471273
Sb,51,65,116,0.201330122630199,0.017064380410555913,0.0002911930787961644
Sb,51,66,117,0.2103132934612308,0.017851178039743232,0.000318664557406611
Sb,51,67,118,0.2125174490009403,0.01801917513606277,0.00032469067258410276
Sb,51,68,119,0.19256953320965275,0.016345151389460355,0.0002671639739443778
Sb,51,69,120,0.17733300396119128,0.015030089283635917,0.0002259035838740672
Sb,51,70,121,0.12882106428284812,0.010926676615762076,0.00011939226186544179
Sb,51,71,122,0.07960755129833906,0.006741423939473634,4.5446796731708214e-05
Sb,51,72,123,0.0062985545415089215,0.0005336336709369505,2.8476489475764554e-07
Sb,51,73,124,0.06030964200160339,0.005099874817382499,2.600872315297218e-05
Sb,51,74,125,0.1587226878579678,0.013425020799999743,0.00018023118348042575
Sb,51,75,126,0.24724727212194272,0.02086844513453734,0.00043549200233319516
Sb,51,76,127,0.3601702828170179,0.03039769114792179,0.0009240196271244428
Sb,51,77,128,0.4724674461107869,0.039785408301082015,0.0015828787136838056
Sb,51,78,129,0.5995178601628323,0.05046777198018759,0.002546996008644208
Sb,51,79,130,0.7265683227993137,0.06101258750072169,0.003722535833533221
Sb,51,80,131,0.8655093920366502,0.0726383301191067,0.005276327002492323
Sb,51,81,132,1.0295146162824769,0.08619451755962437,0.007429494857336395
Sb,51,82,133,1.1688078083001108,0.09776761972083747,0.009558507465878288
Sb,51,83,134,1.1410043423518292,0.0949993346595992,0.009024873585766527
Sb,51,84,135,0.9976185863255528,0.0827224274305447,0.006843000000001734
Sb,51,85,136,0.9818766727268188,0.0810269501270291,0.00656536664688806
Sb,51,86,137,0.8659422373701691,0.07116725841589933,0.005064778670435394
Te,52,52,104,1.1845234861002158,0.09662543756966535,0.009336475185529297
Te,52,53,105,0.9491065032391977,0.07770180047837982,0.006037569797581947
Te,52,54,106,0.7560787889651785,0.06227645725642894,0.003878357128411821
Te,52,56,108,0.4324878552345492,0.03591258961492727,0.001289714092850182
Te,52,57,109,0.2699111705391651,0.022454802333571777,0.0005042181478397805
Te,52,58,110,0.1851290468715366,0.0154733004872174,0.00023942302796772224
Te,52,59,111,0.0517662120339598,0.0043316741959102956,1.8763401339515105e-05
Te,52,60,112,0.0014835419738273093,0.00012462720887995715,1.553194119320847e-08
Te,52,61,113,0.11260963705754085,0.009464430771265242,8.957544982407238e-05
Te,52,62,114,0.1308082107410385,0.011030779752426056,0.00012167810194653265
Te,52,63,115,0.2284055827287157,0.019257218201854442,0.000370840452873834
Te,52,64,116,0.20780176685607507,0.01757097659205087,0.00030873921839839956
Te,52,65,117,0.26984854402784775,0.02280468538650382,0.0005200536755774209
Te,52,66,118,0.2428601749416432,0.020569520951227105,0.0004231051921629708
Te,52,67,119,0.27432567384312334,0.023213653866259065,0.0005388737258224844
Te,52,68,120,0.22610022008855418,0.019166483324575267,0.0003673540830312218
Te,52,69,121,0.22870554056874404,0.019364187309125924,0.0003749717501429135
Te,52,70,122,0.16281313728570632,0.01380351187835771,0.0001905369401759624
Te,52,71,123,0.14185120141703278,0.012008465940903434,0.00014420325425383782
Te,52,72,124,0.06263012708205166,0.005306820082155994,2.8162339384374153e-05
Te,52,73,125,0.025110424865651272,0.002123848800000161,4.510733725262124e-06
Te,52,74,126,0.07430883399051237,0.006288934738892138,3.9550700150044325e-05
Te,52,75,127,0.13268687996444226,0.011206878510495955,0.00012559412594901603
Te,52,76,128,0.24746726021828724,0.020907899056513912,0.00043714024295737533
Te,52,77,129,0.33076092216332775,0.027884501196627554,0.0007775454069847234
Te,52,78,130,0.45485363441963744,0.03834564011074093,0.0014703881155024637
Te,52,79,131,0.564963153548434,0.047520372293774926,0.0022581857829389717
Te,52,80,132,0.6955140079692079,0.05848219729261572,0.00342016740017243
Te,52,81,133,0.833672326893414,0.06993698408953186,0.004891181743539433
Te,52,82,134,0.9677563805070064,0.08113325166450558,0.006582604525655998
