SYMBOL,Z,N,A,EPorc,MAE,MSE,BEA
F,9,20,29,3.52025804067617,0.226846533502197,0.051459349761964,6.4440314
Ne,10,5,15,3.41678202513202,0.16635384024048,0.027673600162755,4.8687285
Ne,10,6,16,2.69123106586544,0.163712368054199,0.026801739453914,6.0831777
Ne,10,7,17,2.70006721380298,0.179297939031982,0.032147750941116,6.6404991
Ne,10,8,18,1.45735008539623,0.106987825360108,0.011446394775285,7.3412577
Ne,10,9,19,2.33387742367089,0.176612512182617,0.031191979459455,7.5673431
Ne,10,10,20,0.868796520247143,0.069783832043457,0.004869783214669,8.0322412
Ne,10,11,21,1.98801869466098,0.158479156652832,0.025115643093393,7.9717136
Ne,10,12,22,1.64087092526869,0.132590010656738,0.017580110925954,8.0804656
Ne,10,13,23,1.2621827454258,0.100409869848633,0.01008214196302,7.9552561
Ne,10,14,24,0.115711254912955,0.009249176898193,8.55472732940761E-05,7.9933252
Ne,10,15,25,0.521924951782333,0.040917869238282,0.001674272023001,7.8397994
Ne,10,16,26,0.317560815640378,0.024617031799316,0.000605998254609,7.751911
Ne,10,17,27,0.287959711573667,0.021655765631103,0.000468972185069,7.5204151
Ne,10,18,28,1.09207100373268,0.080685987597656,0.006510228594609,7.3883463
Ne,10,19,29,1.55621286353064,0.111534823260498,0.012440016799751,7.1670673
Ne,10,20,30,2.65903574959691,0.187050712719727,0.034987969128958,7.0345317
Ne,10,21,31,2.95705994913707,0.201467161602783,0.040589017204282,6.8130902
Na,11,6,17,2.95024517092808,0.162935116564942,0.026547852210031,5.5227653
Na,11,7,18,1.61806771948288,0.100356080877686,0.010071342969129,6.2022176
Na,11,8,19,1.89049757548825,0.131160574182129,0.017203096219786,6.9378864
Na,11,9,20,2.44399942134337,0.17837536619873,0.031817771266531,7.2985028
Na,11,10,21,1.37790385293074,0.107001924261475,0.011449411795658,7.7655581
Na,11,11,22,1.54685177908351,0.122443564660644,0.014992426526805,7.9156624
Na,11,12,23,1.80471660483607,0.146389471899415,0.02142987748299,8.1114936
Na,11,13,24,2.51141657662601,0.202507779309082,0.041009400680696,8.0634882
Na,11,14,25,1.75759624771583,0.142389865502929,0.020274873797942,8.1013979
Na,11,15,26,0.692559573102135,0.055433862353516,0.003072913095429,8.0042013
