SYMBOL,Z,N,A,EPorc,MAE,MSE
Er,68,92,160,0.03924987097703228,0.003202503783093391,1.0256030480727481e-05
Er,68,93,161,0.2340767169080116,0.019085151232406616,0.0003642429975638318
Er,68,94,162,0.1718906650456817,0.014022653861584189,0.00019663482132180197
Er,68,95,163,0.3851484061237887,0.03138760543932051,0.0009851817752144624
Er,68,96,164,0.2879775364358118,0.02347411631309093,0.0005510341366805218
Er,68,97,165,0.4276392150920115,0.034812559444159064,0.0012119142950531084
Er,68,98,166,0.3604599999608168,0.02934173386358374,0.0008609373461213769
Er,68,99,167,0.5270533808370776,0.04283465593179514,0.0018348077487952727
Er,68,100,168,0.48786869189018756,0.03963623437427266,0.0015710310753722736
Er,68,101,169,0.6796603923368991,0.05511697261785997,0.0030378806705579258
Er,68,102,170,0.6666847679198848,0.05403176833754486,0.0029194319896821154
Er,68,103,171,0.8823050366718892,0.07135927212478244,0.005092145718178752
Er,68,104,172,0.8473554017076607,0.06847409545624927,0.004688701748551538
Tm,69,78,147,1.00824391856758,0.07987742340084036,0.006380402769157119
Tm,69,79,148,1.023139858360846,0.08127261729404811,0.006605238321824808
Tm,69,82,151,0.7622278756944151,0.06112865075864882,0.0037367119435728568
Tm,69,83,152,0.8739407446619456,0.07019777821543904,0.004927728066383969
Tm,69,84,153,0.5734078880703047,0.04619229911729761,0.0021337284977418934
Tm,69,85,154,0.5874959701020813,0.04737909583541722,0.0022447787221816493
Tm,69,86,155,0.3369701301788967,0.0272411287955574,0.0007420790980561466
Tm,69,87,156,0.394486183503053,0.03191190110439557,0.001018369432096723
Tm,69,88,157,0.18964501510287823,0.0153715717477656,0.00023628521799670557
Tm,69,89,158,0.28707946230425785,0.02327513805041903,0.0005417320512660638
Tm,69,90,159,0.12410452401547273,0.010077503764389206,0.00010155608212127862
Tm,69,91,160,0.25842385558309444,0.020982184614499744,0.0004402520711969498
Tm,69,92,161,0.1340436387107295,0.010896131619533733,0.00011872568427020282
Tm,69,93,162,0.3024906484023509,0.02457775852840527,0.0006040662142805979
Tm,69,94,163,0.2138273074838735,0.017387876793513612,0.00030233825938640925
Tm,69,95,164,0.4141447993444132,0.03365131493847784,0.0011324109970886217
Tm,69,96,165,0.3586555746911062,0.029156578363066288,0.0008501060618416252
Tm,69,97,166,0.5061048854357468,0.0410996348731949,0.0016891799867099384
Tm,69,98,167,0.41451516773650215,0.03366767149802996,0.0011335121040992589
