EL,N,Z,A,BEA
Cu,27,29,56,8.3559907
Cu,28,29,57,8.5032646
Cu,29,29,58,8.5709696
Cu,30,29,59,8.6420027
Cu,31,29,60,8.6656047
Cu,32,29,61,8.7155148
Cu,33,29,62,8.7180839
Cu,34,29,63,8.7521404
Cu,35,29,64,8.7390736
Cu,36,29,65,8.7570967
Cu,37,29,66,8.731473
Cu,38,29,67,8.7374597
Cu,39,29,68,8.7018913
Cu,40,29,69,8.6952044
Cu,41,29,70,8.6468655
Cu,42,29,71,8.6350233
Cu,43,29,72,8.5865256
Cu,44,29,73,8.5685699
Cu,45,29,74,8.5215633
Cu,46,29,75,8.4950801
Cu,47,29,76,8.4436018
Cu,48,29,77,8.4112501
Cu,49,29,78,8.3546695
Cu,50,29,79,8.320938
Zn,28,30,58,8.3959467
Zn,29,30,59,8.4737802
Zn,30,30,60,8.5830524
Zn,31,30,61,8.6103098
Zn,32,30,62,8.6793451
Zn,33,30,63,8.6862866
Zn,34,30,64,8.7359057
Zn,35,30,65,8.724266
Zn,36,30,66,8.7596335
Zn,37,30,67,8.7341534
Zn,38,30,68,8.755682
Zn,39,30,69,8.7227311
Zn,40,30,70,8.7298086
Zn,41,30,71,8.6890417
Zn,42,30,72,8.6918053
Zn,43,30,73,8.6483455
Zn,44,30,74,8.6427547
Zn,45,30,75,8.5924981
Zn,46,30,76,8.5822735
Zn,47,30,77,8.5300037
Zn,48,30,78,8.50738
Zn,49,30,79,8.4505825
Zn,50,30,80,8.4235457
Zn,51,30,81,8.3519262
Zn,52,30,82,8.3011175
Ga,30,31,61,8.4464313
Ga,31,31,62,8.5186449
Ga,32,31,63,8.5839267
Ga,33,31,64,8.6116317
Ga,34,31,65,8.6621601
Ga,35,31,66,8.6693631
Ga,36,31,67,8.707533
Ga,37,31,68,8.7012195
Ga,38,31,69,8.7245798
Ga,39,31,70,8.7092808
Ga,40,31,71,8.717605
Ga,41,31,72,8.6870893
Ga,42,31,73,8.693874
Ga,43,31,74,8.6631676
